Inspect_Rate,Precision,Recall
100,0.04129646741061909,0.941462426574843
99,0.04129646741061909,0.941462426574843
98,0.04129646741061909,0.941462426574843
97,0.04129646741061909,0.941462426574843
96,0.04129646741061909,0.941462426574843
95,0.04129646741061909,0.941462426574843
94,0.04129646741061909,0.941462426574843
93,0.04129646741061909,0.941462426574843
92,0.04129646741061909,0.941462426574843
91,0.04129646741061909,0.941462426574843
90,0.04129646741061909,0.941462426574843
89,0.04129646741061909,0.941462426574843
88,0.04129646741061909,0.941462426574843
87,0.04129646741061909,0.941462426574843
86,0.04129646741061909,0.941462426574843
85,0.04129646741061909,0.941462426574843
84,0.04129646741061909,0.941462426574843
83,0.04256508471780586,0.9408547701033017
82,0.04256508471780586,0.9408547701033017
81,0.04256508471780586,0.9408547701033017
80,0.04208462390952232,0.8999392343528458
79,0.04208462390952232,0.8999392343528458
78,0.0423246454580299,0.8946728782661535
77,0.043505561535701474,0.8841401660927689
76,0.043505561535701474,0.8841401660927689
75,0.043505561535701474,0.8841401660927689
74,0.04357276652008855,0.8811018837350618
73,0.04426865366949066,0.8784687056917156
72,0.04442444740952203,0.8699615150901358
71,0.04443515081812954,0.8608466680170144
70,0.04738956742711278,0.8385659307271622
69,0.04738956742711278,0.8385659307271622
68,0.04738956742711278,0.8385659307271622
67,0.04738956742711278,0.8385659307271622
66,0.04738956742711278,0.8385659307271622
65,0.04738956742711278,0.8385659307271622
64,0.04759479015918958,0.8326919181689285
63,0.04814914951392399,0.8296536358112214
62,0.05696233214291486,0.7139963540611708
61,0.05696233214291486,0.7139963540611708
60,0.05696233214291486,0.7139963540611708
59,0.05696233214291486,0.7139963540611708
58,0.05696233214291486,0.7139963540611708
57,0.05696233214291486,0.7139963540611708
56,0.05696233214291486,0.7139963540611708
55,0.05696233214291486,0.7139963540611708
54,0.05696233214291486,0.7139963540611708
53,0.05696233214291486,0.7139963540611708
52,0.048339513998317596,0.8264128012963338
51,0.05696233214291486,0.7139963540611708
50,0.05696233214291486,0.7139963540611708
49,0.05696233214291486,0.7139963540611708
48,0.048339513998317596,0.8264128012963338
47,0.05696233214291486,0.7139963540611708
46,0.05696233214291486,0.7139963540611708
45,0.06529865744834794,0.65809195867936
44,0.06529865744834794,0.65809195867936
43,0.06529865744834794,0.65809195867936
42,0.06529865744834794,0.65809195867936
41,0.06529865744834794,0.65809195867936
40,0.06529865744834794,0.65809195867936
39,0.06529865744834794,0.65809195867936
38,0.06529865744834794,0.65809195867936
37,0.06529865744834794,0.65809195867936
36,0.10241687111760714,0.39740733238808995
35,0.10241687111760714,0.39740733238808995
34,0.10241687111760714,0.39740733238808995
33,0.10241687111760714,0.39740733238808995
32,0.10241687111760714,0.39740733238808995
31,0.10241687111760714,0.39740733238808995
30,0.10241687111760714,0.39740733238808995
29,0.10241687111760714,0.39740733238808995
28,0.10241687111760714,0.39740733238808995
27,0.10241687111760714,0.39740733238808995
26,0.10241687111760714,0.39740733238808995
25,0.10241687111760714,0.39740733238808995
24,0.10241687111760714,0.39740733238808995
23,0.10241687111760714,0.39740733238808995
22,0.10241687111760714,0.39740733238808995
21,0.10241687111760714,0.39740733238808995
20,0.10241687111760714,0.39740733238808995
19,0.10241687111760714,0.39740733238808995
18,0.10241687111760714,0.39740733238808995
17,0.10241687111760714,0.39740733238808995
16,0.10241687111760714,0.39740733238808995
15,0.10241687111760714,0.39740733238808995
14,0.10382572883927604,0.3880899331577881
13,0.12199821096814147,0.35912497468098037
12,0.12199821096814147,0.35912497468098037
11,0.12199821096814147,0.35912497468098037
10,0.13773120584266096,0.35142799270812236
9,0.2830370014416146,0.23860644115859833
8,0.2830370014416146,0.23860644115859833
7,0.2830370014416146,0.23860644115859833
6,0.2830370014416146,0.23860644115859833
5,0.2830370014416146,0.23860644115859833
4,0.2830370014416146,0.23860644115859833
3,0.2809464508094645,0.22847883329957464
2,0.18050682261208578,0.09378164877455945
1,0.14124293785310735,0.030382823577071096
0,,0.0
