iter	Passed	Remaining
410	4087	5857
411	4096	5846
412	4105	5834
413	4114	5824
414	4123	5813
415	4133	5802
416	4142	5791
417	4151	5779
418	4160	5769
419	4170	5758
420	4183	5754
421	4194	5745
422	4205	5736
423	4221	5735
424	4233	5727
425	4243	5717
426	4252	5706
427	4262	5696
428	4270	5684
429	4280	5673
430	4289	5662
431	4299	5652
432	4308	5642
433	4317	5630
434	4326	5619
435	4335	5608
436	4345	5598
437	4354	5587
438	4363	5576
439	4373	5565
440	4382	5555
441	4394	5547
442	4402	5535
443	4412	5525
444	4422	5516
445	4432	5506
446	4442	5495
447	4451	5484
448	4461	5475
449	4471	5464
450	4480	5454
451	4489	5443
452	4499	5432
453	4508	5421
454	4517	5410
455	4525	5399
456	4535	5388
457	4545	5379
458	4554	5368
459	4563	5357
460	4573	5347
461	4583	5337
462	4592	5326
463	4601	5315
464	4611	5305
465	4620	5294
466	4629	5283
467	4637	5272
468	4647	5262
469	4657	5251
470	4667	5241
471	4679	5234
472	4694	5230
473	4705	5222
474	4716	5212
475	4726	5202
476	4734	5191
477	4744	5180
478	4753	5170
479	4762	5159
480	4771	5148
481	4780	5137
482	4791	5128
483	4799	5117
484	4809	5106
485	4819	5097
486	4829	5087
487	4839	5077
488	4847	5065
489	4855	5054
490	4864	5043
491	4876	5034
492	4885	5024
493	4896	5015
494	4905	5004
495	4914	4993
496	4922	4982
497	4931	4970
498	4939	4959
499	4948	4948
500	4957	4938
501	4966	4926
502	4976	4917
503	4985	4906
504	4993	4894
505	5001	4883
506	5010	4872
507	5019	4861
508	5028	4850
509	5036	4839
510	5045	4828
511	5054	4817
512	5062	4806
513	5071	4794
514	5079	4783
515	5088	4773
516	5097	4762
517	5106	4751
518	5114	4740
519	5123	4729
520	5131	4718
521	5140	4707
522	5148	4695
523	5157	4684
524	5166	4674
525	5177	4665
526	5188	4656
527	5199	4647
528	5211	4639
529	5223	4631
530	5235	4624
531	5246	4615
532	5257	4606
533	5266	4596
534	5276	4586
535	5288	4578
536	5297	4567
537	5308	4558
538	5318	4548
539	5327	4538
540	5337	4528
541	5347	4518
542	5357	4508
543	5366	4498
544	5375	4488
545	5385	4478
546	5394	4467
547	5403	4457
548	5412	4446
549	5421	4435
550	5431	4426
551	5440	4415
552	5450	4405
553	5459	4394
554	5468	4384
555	5476	4373
556	5485	4362
557	5493	4351
558	5503	4341
559	5512	4331
560	5522	4321
561	5533	4312
562	5541	4301
563	5551	4291
564	5561	4281
565	5570	4271
566	5578	4260
567	5588	4250
568	5598	4240
569	5607	4230
570	5617	4220
571	5626	4209
572	5635	4199
573	5645	4189
574	5654	4179
575	5663	4169
576	5678	4163
577	5690	4154
578	5699	4144
579	5708	4133
580	5717	4123
581	5730	4115
582	5738	4104
583	5748	4094
584	5758	4085
585	5767	4074
586	5776	4064
587	5785	4054
588	5795	4043
589	5805	4034
590	5816	4025
591	5825	4014
592	5835	4004
593	5844	3994
594	5854	3984
595	5863	3974
596	5873	3964
597	5882	3954
598	5892	3944
599	5900	3933
600	5909	3923
601	5918	3912
602	5928	3902
603	5937	3892
604	5946	3882
605	5956	3872
606	5965	3862
607	5974	3852
608	5984	3841
609	5992	3831
610	6001	3821
611	6011	3811
612	6020	3800
613	6031	3791
614	6041	3782
615	6051	3772
616	6061	3762
617	6070	3752
618	6084	3744
619	6097	3737
620	6111	3729
621	6127	3723
622	6141	3716
623	6152	3707
624	6166	3699
625	6179	3692
626	6194	3685
627	6209	3677
628	6221	3669
629	6230	3659
630	6240	3649
631	6252	3640
632	6265	3632
633	6276	3623
634	6286	3613
635	6296	3603
636	6305	3593
637	6315	3583
638	6324	3572
639	6334	3562
640	6344	3553
641	6352	3542
642	6362	3532
643	6373	3523
644	6383	3513
645	6392	3503
646	6402	3493
647	6414	3484
648	6424	3474
649	6433	3464
650	6442	3453
651	6451	3443
652	6463	3434
653	6471	3423
654	6481	3413
