iter	Logloss
0	0.6807473378
1	0.6701232903
2	0.6629666031
3	0.6527827782
4	0.6458574147
5	0.6390800601
6	0.6321787717
7	0.625679356
8	0.6210953442
9	0.6152612586
10	0.6097661377
11	0.6057355022
12	0.6014487054
13	0.5965588899
14	0.5919548866
15	0.5880168929
16	0.5843246032
17	0.5800992846
18	0.5764177214
19	0.5726970431
20	0.5686606567
21	0.5659435593
22	0.5633225426
23	0.5598179199
24	0.5568724618
25	0.5543562442
26	0.5515607969
27	0.5483928457
28	0.5458480528
29	0.5435111909
30	0.5417304062
31	0.5398991926
32	0.537342906
33	0.5348975719
34	0.5328009727
35	0.530296745
36	0.5276411884
37	0.5261151963
38	0.5235564278
39	0.5218462962
40	0.5200707769
41	0.5174173133
42	0.5154622108
43	0.5133626268
44	0.5113988801
45	0.5095118689
46	0.5077631969
47	0.5062180198
48	0.5048170291
49	0.5035001895
50	0.5016774301
51	0.5001301677
52	0.4983896779
53	0.4971475452
54	0.495920785
55	0.4943806667
56	0.4928419335
57	0.4912361084
58	0.4901344303
59	0.4884847688
60	0.4871627998
61	0.4859970494
62	0.4848872762
63	0.4825663865
64	0.4814954263
65	0.479940822
66	0.4777604409
67	0.4772635255
68	0.4763333506
69	0.4743595306
70	0.473665597
71	0.4728182408
72	0.4716586252
73	0.4709512645
74	0.4702388981
75	0.4691990858
76	0.4677464045
77	0.4666179359
78	0.465857536
79	0.4646311768
80	0.4636664596
81	0.4631132818
82	0.4620551573
83	0.4608562417
84	0.4590242203
85	0.4584240711
86	0.4578693495
87	0.4573437442
88	0.4558628949
89	0.4551564785
90	0.4544003029
91	0.453303134
92	0.4522914098
93	0.4513801931
94	0.4506049535
95	0.4498240996
96	0.4492164293
97	0.4485421893
98	0.4477618456
99	0.4471142698
100	0.4456788027
101	0.4451241916
102	0.4446700739
103	0.4440015327
104	0.4425280888
105	0.4412704435
106	0.4406202215
107	0.4398560358
108	0.4392541549
109	0.4387560346
110	0.438012762
111	0.4375099457
112	0.4367047026
113	0.4361027514
114	0.4352100349
115	0.434649976
116	0.4340440344
117	0.4332783062
118	0.4326461451
119	0.4322651253
120	0.4317256193
121	0.4315187566
122	0.4309772695
123	0.4303962901
124	0.4298799269
125	0.4293987326
126	0.4284820199
127	0.4282163898
128	0.4277493102
129	0.4272751763
130	0.4266548186
131	0.4261386236
132	0.4256638382
133	0.4246880084
134	0.4234825179
135	0.4231832139
136	0.4223752644
137	0.4217374782
138	0.4214201025
139	0.4206012355
140	0.4202368271
141	0.4198737788
142	0.4194423994
143	0.4190657528
144	0.4187149998
145	0.4183479432
146	0.4176811155
147	0.4172915831
148	0.4169388487
149	0.4162926609
150	0.4156911573
151	0.415360854
152	0.4151509071
153	0.4147249321
154	0.4144734548
155	0.4142956539
156	0.4139304067
157	0.413674468
158	0.4129296056
159	0.4125331117
160	0.4116084304
161	0.4105896025
162	0.4099957094
163	0.4095042907
164	0.4092208035
165	0.4088063773
166	0.4081242765
167	0.4079068064
168	0.4075469573
169	0.4071187315
170	0.406792707
171	0.4064512115
172	0.4056176568
173	0.4052041623
174	0.4042967752
175	0.4035271024
176	0.4030897147
177	0.4027070953
178	0.4022329218
179	0.401638431
180	0.4011405145
181	0.400889066
182	0.4003922051
183	0.3996716096
184	0.3992392542
185	0.3991107248
186	0.398546534
187	0.3982443387
188	0.3979685027
189	0.3976828415
190	0.3975082553
191	0.3972930836
192	0.3969271031
193	0.3966006336
194	0.3959923212
195	0.3956102076
196	0.3952611436
197	0.3945098961
198	0.3940350328
199	0.3936076334
200	0.3929785101
201	0.3924241524
202	0.3922045795
203	0.3918871146
204	0.3916262324
205	0.3913337098
206	0.3909536017
207	0.390398878
208	0.3901850826
209	0.3897777099
210	0.3896335333
211	0.3893135834
212	0.3889741503
213	0.3886746601
214	0.3884179528
215	0.3878779864
216	0.3876032103
217	0.3873380434
218	0.3867345074
219	0.3864729356
220	0.386162871
221	0.3858683427
222	0.3855127621
223	0.3848449043
224	0.3846602152
225	0.3842713543
226	0.3839046007
227	0.3833543501
228	0.3830134018
229	0.382481497
230	0.3823090237
231	0.3819054243
232	0.3814983994
233	0.3812749335
234	0.3810857708
235	0.3809310412
236	0.3807205151
237	0.3805292997
238	0.3803404369
239	0.3799153626
240	0.3796618201
241	0.379401217
242	0.3792023199
243	0.3786556153
244	0.3783080707
245	0.3780066003
246	0.3778179035
247	0.3776039493
248	0.377300368
249	0.3770402934
250	0.3768342887
251	0.3764892738
252	0.3762717645
253	0.3760627922
254	0.3759337269
255	0.3757245207
256	0.3755928381
257	0.3751599676
258	0.3747525488
259	0.3745551512
260	0.3743689577
261	0.3739694791
262	0.3728887671
263	0.3726668736
264	0.3718332045
265	0.3716481835
266	0.3712404682
267	0.3710776367
268	0.3708204857
269	0.3702379474
270	0.3700449644
271	0.3698282348
272	0.3696951208
273	0.3689959697
274	0.3687428726
275	0.3684775684
276	0.3683418282
277	0.3680340206
278	0.3677264722
279	0.367187922
280	0.367031754
281	0.3664974324
282	0.36620939
283	0.3658082889
284	0.3656793639
285	0.3653249722
286	0.3648488926
287	0.3644580035
288	0.36335147
289	0.3627633403
290	0.3624620332
291	0.3622850541
292	0.3619429724
293	0.3617841151
294	0.3615675458
295	0.3612913534
296	0.3609760664
297	0.3606930958
298	0.3604866841
299	0.3602029716
300	0.3600014505
301	0.3598461918
302	0.3592112293
