Experiment_ID,TrainYear,TestYear,TrainLength,TestLength,Classifier,Features,Num_features,AUC,Time
KK6I121E9D,2013,2014,14038,135130,              LogisticRe,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6512,0.15
2TJ47UT8A5,2013,2014,14038,135130,              DecisionTr,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6334,0.136
X0F3RLP11I,2013,2014,14038,135130,              RandomFore,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6716,1.637
AQYX1TZME6,2013,2014,14038,135130,              AdaBoostCl,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6482,2.096
XS5RW4CRQY,2013,2014,14038,135130,              XGBClassif,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.7011,1.01
4LS2BLFMXH,2013,2014,14038,135130,              LGBMClassi,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6927,0.535
T86UWI53CW,2013,2014,14038,135130,              <catboost.,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.7147,7.249
