Experiment_ID,TrainYear,TestYear,TrainLength,TestLength,Classifier,Features,Num_features,AUC,Time
RJJM466BYF,2013,2014,14038,135130,              LogisticRe,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6512,0.161
0UNDE8XLLC,2013,2014,14038,135130,              DecisionTr,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6856,0.141
5O1O97FNDW,2013,2014,14038,135130,              RandomFore,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6746,1.959
UKHRAPV8UD,2013,2014,14038,135130,              AdaBoostCl,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6971,5.094
QNC1YCVETL,2013,2014,14038,135130,              XGBClassif,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.7011,1.019
MLN61U5U1D,2013,2014,14038,135130,              LGBMClassi,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6927,0.509
K4WOUBB3JJ,2013,2014,14038,135130,              <catboost.,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.7187,10.094
