Experiment_ID,TrainYear,TestYear,TrainLength,TestLength,Classifier,Features,Num_features,AUC,Time
U35XPZ1UOQ,2013,2014,14038,135130,              LogisticRe,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6512,0.165
2YH37FMHQN,2013,2014,14038,135130,              DecisionTr,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6929,0.141
TC46KS7T9G,2013,2014,14038,135130,              RandomFore,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6716,2.091
WEZB48FM6Y,2013,2014,14038,135130,              AdaBoostCl,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6945,5.544
3YQ4KRUL9V,2013,2014,14038,135130,              XGBClassif,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.7011,1.011
LYYIRG12O4,2013,2014,14038,135130,              LGBMClassi,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6927,0.498
UJAJ03EHEE,2013,2014,14038,135130,              <catboost.,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.7155,13.372
