Experiment_ID,TrainYear,TestYear,TrainLength,TestLength,Classifier,Features,Num_features,AUC,Time
UFZ06O7JEU,2013,2014,14038,135130,              LogisticRe,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6512,0.138
2RSL7KJ7RV,2013,2014,14038,135130,              DecisionTr,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6558,0.128
L88BN7TSDZ,2013,2014,14038,135130,              RandomFore,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6685,1.809
27NZU1RZ3I,2013,2014,14038,135130,              AdaBoostCl,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.675,4.589
UBMWL8IFXS,2013,2014,14038,135130,              XGBClassif,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.7011,1.025
GU2H9D93NH,2013,2014,14038,135130,              LGBMClassi,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.6905,0.419
SVG2FXBG6E,2013,2014,14038,135130,              <catboost.,cif+cuantia+peso_bruto+impuesto_total+Unitprice+WUnitprice+TaxRatio+TaxUnitquantity+RiskH.aduana+RiskH.contribuyente+RiskH.inciso_arancelario+RiskH.HS6+RiskH.pais_origen_destino+RiskH.aduana&contribuyente+RiskH.aduana&inciso_arancelario+RiskH.aduana&pais_origen_destino+RiskH.contribuyente&inciso_arancelario+RiskH.contribuyente&pais_origen_destino+RiskH.inciso_arancelario&pais_origen_destino+RiskH.RiskH.aduana&contribuyente+RiskH.RiskH.aduana&inciso_arancelario+RiskH.RiskH.aduana&pais_origen_destino+RiskH.RiskH.contribuyente&inciso_arancelario+RiskH.RiskH.contribuyente&pais_origen_destino+RiskH.RiskH.inciso_arancelario&pais_origen_destino,25,0.7164,8.273
